WHD - Agriculture  ,,,,,
FY 2016,235,"3,572","1,451,578.62","2,223,114.00","6,079"
,"2,264","28,830","15,198,580.43","20,518,582.18","86,100"
,,,,,
,MSPA,,,,
,Cases with Violations ,Employees Receiving Back Wages ,Back Wages,Civil Monetary Penalties Assessed,Total Violations under MSPA
FY 2000,853,"1,114","104,902.61","870,421.00","4,422"
FY 2001,941,"6,356","368,132.23","733,537.16","10,745"
FY 2002,948,"1,835","387,659.09","783,400.00","5,994"
FY 2003,740,"1,994","266,324.73","600,071.25","6,008"
FY 2004,794,"1,129","272,540.23","946,102.35","4,295"
FY 2005,616,"1,330","98,459.84","588,631.25","3,430"
FY 2006,615,"1,007","152,332","610,890.00","3,105"
FY 2007,812,"1,497","179,564.54","1,181,542.75","5,350"
FY 2008,747,"2,557","308,923.89","764,301.00","5,275"
FY 2009,636,"2,061","326,548.17","804,287.50","4,979"
FY 2010,626,"1,883","323,135.03","648,310.90","4,876"
FY 2011,654,"2,558","404,961.95","885,447.50","5,578"
FY 2012,767,"3,688","754,591.56","1,036,650.00","7,129"
FY 2013,822,"4,336","636,514.29","902,628.25","8,255"
FY 2014,756,"6,213","742,536.59","951,668.75","10,745"
FY 2015,707,"3,569","644,187.81","838,746.75","7,802"
FY 2016,608,"3,792","680,184.97","968,443.75","7,696"
,"12,642","46,919","6,651,499.53","14,115,080.16","105,684.00"
,,,,,
,OSHA,,,,
,Cases with Violations,Employees Receiving Back Wages ,Back Wages,Civil Monetary Penalties Assessed,Total Violations under OSHA
FY 2000,102,0,0,"48,511.71","1,027"
FY 2001,100,0,0,"94,573.63",424
FY 2002,71,0,0,"74,901.83",171
FY 2003,94,0,0,"82,018.21",205
FY 2004,108,0,0,"160,161.25",338
FY 2005,84,0,0,"51,645.20",206
FY 2006,61,0,0,"58,760.95",139
FY 2007,70,0,0,"61,587.70",219
FY 2008,70,0,0,"40,849.25",225
FY 2009,55,0,0,"31,251.75",133
FY 2010,52,0,0,"25,672.30",120
FY 2011,77,0,0,"149,382.60",253
FY 2012,111,0,0,"55,597.10",301
FY 2013,87,0,0,"88,575.80",275
FY 2014,75,0,0,"23,792.70",145
FY 2015,73,0,0,"57,884.80",173
FY 2016,73,0,0,"30,801.10",154
,"1,363", -   , -   ,"1,135,968","4,508"
,,,,,
,"All Others (FLSA, CL, SCA, H-2B)",,,,
, Cases with Violations ,Employees Receiving Back Wages ,Back Wages,Civil Monetary Penalties Assessed,Total Violations
FY 2000,490,"3,405","1,132,939.94","315,330.95","5,594"
FY 2001,399,"3,023","891,700.18","174,596.75","4,254"
FY 2002,437,"3,234","1,436,261.73","154,286.00","4,917"
FY 2003,386,"5,467","1,811,037.13","141,072.00","6,320"
FY 2004,401,"2,383","806,765.92","367,621.00","3,733"
FY 2005,366,"1,810","871,141.50","140,380.50","2,521"
FY 2006,351,"1,895","1,317,845.68","83,955.00","2,944"
FY 2007,426,"5,589","2,566,962.68","124,493.50","6,422"
FY 2008,396,"2,372","1,167,741.07","102,450.50","3,032"
FY 2009,422,"2,133","676,811.58","112,835.95","3,438"
FY 2010,406,"6,424","2,459,600.66","71,441.00","12,166"
FY 2011,450,"2,958","1,632,303.06","128,471.75","4,364"
FY 2012,531,"4,743","2,710,114.53","211,043.60","6,300"
FY 2013,641,"3,637","2,601,949.32","329,995.75","6,685"
FY 2014,608,"4,309","2,381,209.33","354,204.93","5,838"
FY 2015,566,"4,855","2,067,133.54","244,829.10","8,345"
FY 2016,580,"5,316","2,713,077.40","315,530.38","11,226"
,"7,856","63,553","29,244,595.25","3,372,538.66","98,099"
,,,,,
"Wage and Hour investigations, including those in agriculture, often involved the concurrent enforcement of multiple statutes.  Therefore, duplication may exist in the data. ",,,,,
"Source: U.S. Department of Labor, Wage and Hour Division ",,,,,
